area ,short names ,1965,1970,1975,1980,1982,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
DOM,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,86.33,,,,,82.03,,,,,79.86,,,,,,,
DZA,water_withdrawal,,,,74,,,,,,,,60,,,,,,,,,,,61.19,,,,,,,,,,,59.23,,,,,63.78
ECU,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,86.2,,,,,81.43,,,,,,,,,,,,
EGY,water_withdrawal,,,,,,,,,,,,,,,,,86.14,,,,,86.38,,,,,,,,,,,,85.06,,,,,79.16
ERI,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,70.15,,,,94.5,,,,,,,,,,,,,
ESP,water_withdrawal,,,,,,,,62.01,,,,,64.23,,,,,,67.66,,,,,64.11,,,,,65.17,,,,,69.51,,,,65.21,
EST,water_withdrawal,,,,,,,,,,,,,,,,,0.5891,,,,,,,2.123,,,,,0.4144,,,,,0.2759,,,,,0.2521
ETH,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,93.63,,,89.05,,,,,,,,,,,91.82,
FIN,water_withdrawal,,,,,,,,,,,,0.8522,,,,,1.933,,,,,,,2.148,,,,0.762,,,,,,,,,,,
FJI,water_withdrawal,,,,,,,,,60,,,,,,,,,,,,,61.2,,,,,58.89,,,,,,,,,,,,
FRA,water_withdrawal,,,,,,,,,,,,,,12.54,,,,,11.04,,,,,13.26,,,,,12.52,,,,,10.38,,,,11.77,
GAB,water_withdrawal,,,,,,,,,6,,,,,,,,,,,,,33.5,,,,,28.97,,,,,,,,,,,,
GBR,water_withdrawal,,,,,,,,,,,,5.544,,,,,14.22,,,,,,,8.273,,,,,15.62,,,,,12.77,,,,14.05,
GEO,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,58.19,,,,,,,,,,,,
GHA,water_withdrawal,,52,,,,,,,,,,,,,,,,,,,,66.4,,,,,,,,,,,,,,,,,
GIN,water_withdrawal,,,,,,,,,87.03,,,,,,,,,,,,,,52.94,,,,,,,,,,,,,,,,
GMB,water_withdrawal,,,,,91,,,,,,,,,,,,,,,,,43.31,,,,,,,,,,,,,,,,,
GNB,water_withdrawal,,,,,,,,,,,,,36.14,,,,,82.29,,,,82.29,,,,,,,,,,,,,,,,,
GNQ,water_withdrawal,,,,,,,,,6,,,,,,,,,,,,,5.747,,,,,,,,,,,,,,,,,
